order_id,customer_id,order_date,total_amount,status,shipping_country
1,21,2025-11-18T13:36:10.611783,7514.55,processing,Australia
2,663,2024-06-16T08:57:10.611783,9015.33,pending,United Kingdom
3,230,2024-09-05T08:57:10.611783,13507.66,shipped,Sweden
4,730,2025-12-17T09:23:10.611783,6449.04,delivered,Germany
5,386,2024-12-13T03:22:10.611783,796.55,processing,Poland
6,478,2024-10-26T10:39:10.611783,943.3,cancelled,United States
7,407,2025-08-10T16:06:10.611783,8441.72,cancelled,Poland
8,679,2025-01-08T06:47:10.611783,6919.77,cancelled,France
9,624,2024-10-05T22:49:10.611783,694.14,pending,Spain
10,494,2024-02-24T23:23:10.611783,7080.48,shipped,Poland
11,284,2024-09-14T09:51:10.611783,472.34,shipped,Japan
12,193,2024-05-23T05:54:10.611783,400.71,processing,Netherlands
13,59,2025-08-27T01:48:10.611783,1998.56,shipped,Norway
14,698,2024-05-13T12:07:10.611783,226.56,delivered,Italy
15,303,2024-09-12T02:31:10.611783,3835.15,delivered,Spain
16,755,2024-01-27T07:51:10.611783,8968.11,cancelled,Italy
17,195,2024-12-07T12:51:10.611783,1027.44,processing,United States
18,703,2025-06-21T09:56:10.611783,2039.91,delivered,Sweden
19,688,2024-12-23T05:25:10.611783,8647.76,processing,Japan
20,674,2025-07-14T18:24:10.611783,2925.73,pending,Australia
21,483,2024-05-01T12:22:10.611783,6274.94,cancelled,United Kingdom
22,782,2024-06-26T11:03:10.611783,759.15,shipped,Spain
23,671,2024-03-21T20:28:10.611783,6596.02,processing,France
24,763,2024-10-31T02:56:10.611783,7728.81,shipped,Japan
25,381,2024-09-13T07:24:10.611783,3355.85,delivered,United Kingdom
26,121,2025-04-15T15:01:10.611783,2811.25,cancelled,Japan
27,595,2025-09-16T15:36:10.611783,2706.92,processing,Mexico
28,513,2024-04-22T10:30:10.611783,5543.77,cancelled,Canada
29,306,2025-02-16T15:01:10.611783,6570.08,processing,United Kingdom
30,141,2024-07-13T23:32:10.611783,5409.24,cancelled,France
31,469,2024-05-16T00:01:10.611783,3766.43,processing,Australia
32,798,2024-03-13T04:27:10.611783,2157.06,processing,United States
33,321,2025-09-30T14:06:10.611783,3761.93,delivered,Germany
34,281,2024-07-22T18:42:10.611783,6743.02,processing,Spain
35,502,2024-03-20T17:45:10.611783,3086.02,delivered,Japan
36,649,2025-03-05T01:33:10.611783,645.06,delivered,Netherlands
37,393,2023-12-25T14:40:10.611783,7519.96,processing,Australia
38,749,2025-01-06T14:03:10.611783,3333.5,shipped,Italy
39,776,2025-06-16T19:07:10.611783,4481.97,pending,Norway
40,642,2024-08-31T20:50:10.611783,1926.9,shipped,Netherlands
41,320,2024-05-01T16:30:10.611783,4919.49,cancelled,Mexico
42,603,2024-10-29T18:10:10.611783,4894.33,pending,Sweden
43,306,2024-10-14T03:52:10.611783,1225.77,cancelled,United Kingdom
44,611,2025-06-09T23:33:10.611783,8454.38,processing,Netherlands
45,351,2025-05-06T00:54:10.611783,7430.8,processing,United States
46,169,2025-02-06T13:20:10.611783,5699.25,processing,United States
47,745,2024-05-03T19:52:10.611783,2597.1,pending,Poland
48,604,2025-05-20T18:13:10.611783,7326.59,shipped,Sweden
49,729,2025-10-17T14:30:10.611783,8778.44,shipped,United States
50,790,2025-06-21T08:09:10.611783,6728.79,cancelled,United States
51,50,2025-10-28T16:47:10.611783,5875.22,pending,Sweden
52,50,2025-11-26T16:32:10.611783,4794.3,delivered,Sweden
53,390,2024-04-26T06:22:10.611783,2729.17,delivered,Poland
54,719,2024-05-25T19:50:10.611783,3478.44,pending,Sweden
55,309,2025-02-24T10:12:10.611783,10582.84,cancelled,United Kingdom
56,277,2025-09-19T08:50:10.611783,2592.06,processing,Japan
57,429,2024-04-07T05:52:10.611783,2534.17,cancelled,United Kingdom
58,121,2024-10-05T16:56:10.611783,7637.89,pending,Japan
59,510,2024-07-12T08:18:10.611783,5024.79,shipped,Japan
